Client,Project name,Status,Owner,Dates,Priority,Completion,Tasks,Summary
,HELP with Wave,Planning,Jim Baxley,,High,,,
TRG Property Group (Clients%20fe9e2a78a4e24a71a8460707d586d02b/TRG%20Property%20Group%20434d6a3c1b6948ee9c0ef28c3e2d059e.html),Williams Insurance,Planning,"Laura, Jim Baxley",04/05/2024,,0.5,"Proposal (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Proposal%206c20afe35b6f4803ab8d01e67e86d47b.html), Doc (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Doc%20df0b56f209754cc483c43cb326034393.html)",
PPA Properties (Clients%20fe9e2a78a4e24a71a8460707d586d02b/PPA%20Properties%2079cef14fc001430cb52e840c447eb5d5.html),Branding Package,Done,Jim Baxley,12/03/2023 → 12/29/2023,High,0.8235294117647058,"Send Invoice for Logo (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Send%20Invoice%20for%20Logo%20edf8f0fea51e456c92615759da576344.html), FOR RENT signs (Tasks%20d3c736d0cefe4b1ca795bec0af013934/FOR%20RENT%20signs%200c8f7f2298934a44a9936c035f8f78cd.html), Business Cards (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Business%20Cards%2045c61bd86df14c3d8ad5bd92b0b410e8.html), Name Tag (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Name%20Tag%2003792b7bfc6e4723b653910502cbd431.html), Email Header (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Email%20Header%207313d5623eb940c382118e579532731c.html), Yard Signs with riders (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Yard%20Signs%20with%20riders%20e20fb750d4234eb1a81e49aa50bf59b8.html), Letterhead (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Letterhead%2003aadb460133482f81b2a713432d299d.html), Envelopes with return address (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Envelopes%20with%20return%20address%201a16156d992742478e8c5951a9115302.html), Thank You Cards (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Thank%20You%20Cards%20c72f53abe2e7414f998e5a36c66e46e0.html), Email signature (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Email%20signature%209bdd626709c8451fb45bfd13f058ca56.html), Branding Kit Export (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Branding%20Kit%20Export%200821f83ae83242f880416b66c271ab8e.html), Logo Concepts (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Logo%20Concepts%2040dfd1f494824646a4439cac569f75d2.html), Mockups (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Mockups%20f9825a55f11045e9a437bdcb8235b858.html), Vests (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Vests%20b0bab93591b2459f89cd43fb8ef60341.html), Pocket Folder (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Pocket%20Folder%2059e16166a7924bb49cf505fa846797e2.html), BRIGHTER For Rent/For Sale (Tasks%20d3c736d0cefe4b1ca795bec0af013934/BRIGHTER%20For%20Rent%20For%20Sale%20536542363b584e77901fb03600d272b6.html), Thank you Card Envelope (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Thank%20you%20Card%20Envelope%208bab11d7d2f64383b9703fd28612fad4.html)",https://www.dropbox.com/scl/fo/ogrs1kd3rfblxt2ckjeu7/h?rlkey=zjdyr113nphavtkequgsr9wsy&dl=0
Safiyah Jackson (Clients%20fe9e2a78a4e24a71a8460707d586d02b/Safiyah%20Jackson%208b185d0dbec041f9b195fa810c51d4d4.html),Walk Card,Done,Jim Baxley,,,,,4.5 x 11
PPA Properties (Clients%20fe9e2a78a4e24a71a8460707d586d02b/PPA%20Properties%2079cef14fc001430cb52e840c447eb5d5.html),Systems Analysis,Planning,Jim Baxley,12/21/2023 → 01/12/2024,Medium,,"Build Phase I proposal (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Build%20Phase%20I%20proposal%20881611ae86eb49479efa7e43e091692d.html), Build Phase II proposal (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Build%20Phase%20II%20proposal%20915a4beb92be435c956275586b3f5f3b.html), Google appointment scheduling (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Google%20appointment%20scheduling%205015513117ec4b14b38d2ebc151faf19.html), create Vendor response process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/create%20Vendor%20response%20process%20030dfe6de6df427abcdec98bcf4aa0ab.html), Weekly Content Program (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Weekly%20Content%20Program%20d0fec353c51b4b95b6ae4921de377a62.html), Applicant keep-warm process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Applicant%20keep-warm%20process%208748f5e9a1c44ec9884441d35f0d10ae.html), Tenant Moveout process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Tenant%20Moveout%20process%2058675aa20ec24c779cf7afe90401e9e9.html), Resident Research updates (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Resident%20Research%20updates%20b30efbc5abf948278494bdd7190d5be1.html), Website updates (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Website%20updates%20d04bee94e1064b0ab702a3122ffa7fec.html), Shop competitors  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Shop%20competitors%2032cf1b86224e4b11bf5e0dc8e2561722.html), Tenant Turner into WiseAgent (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Tenant%20Turner%20into%20WiseAgent%2095200337bd8a41d4a23fe9e0c6ca25ac.html)","PPA has multiple systems and wants to improve renter satisfaction with more responsiveness, workflow, and data management"
TRG Property Group (Clients%20fe9e2a78a4e24a71a8460707d586d02b/TRG%20Property%20Group%20434d6a3c1b6948ee9c0ef28c3e2d059e.html),Website +,Done,Jim Baxley,12/04/2023 → 03/01/2024,,0.75,"Mock up website (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Mock%20up%20website%20105c9681a276455e826584c1f0464505.html), Photoshoot (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Photoshoot%20ebd3ae291e08402ea2ef2eb365ba26f3.html), Draft (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Draft%20aae335ae36fe41b58c57a50bceb8decf.html), Play with colors (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Play%20with%20colors%204a5b2a53e93e40c5af032434eccf9620.html), Get access to current domain (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Get%20access%20to%20current%20domain%205dcef05e584543618f53162910735df6.html), Add Photos (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Add%20Photos%2057525ea55d94423da6a16a49ac7bb571.html), Process Photos (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Process%20Photos%20f0eca2799eed4902ac392ace27e31327.html), Take Photos (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Take%20Photos%20dc04e8c790cb4d128983757d6c7cf96d.html)",
Friends of Marilyn Carter (Clients%20fe9e2a78a4e24a71a8460707d586d02b/Friends%20of%20Marilyn%20Carter%20fe91f1c1b2344f959f0133c612766c2f.html),Logo Package,Done,,11/13/2023 → 11/24/2023,,,,
The Committee to Elect Phyllis Portie-Ascott (Clients%20fe9e2a78a4e24a71a8460707d586d02b/The%20Committee%20to%20Elect%20Phyllis%20Portie-Ascott%201c7a7b2db91c4069826df9dde5961885.html),Headshots,Done,,11/26/2023,,,,
Friends of Marilyn Carter (Clients%20fe9e2a78a4e24a71a8460707d586d02b/Friends%20of%20Marilyn%20Carter%20fe91f1c1b2344f959f0133c612766c2f.html),Headshots,Done,,,,,,
"Validis, Ltd (Clients%20fe9e2a78a4e24a71a8460707d586d02b/Validis,%20Ltd%2092d4ed0a03234196a219cc5f73fca2ae.html)",Video Edits,Backlog,,,,,Send Estimate w T/C (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Send%20Estimate%20w%20T%20C%204822ba0fc4494c2b949a48bfea8379b8.html),
