Task name,Status,Assignee,Due,Files & media,Priority,Est Hours,Act Hours,Project,Summary,Tags,Parent-task,Sub-tasks
Photoshoot,Done,Jim Baxley,"December 18, 2023",,,1,1,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),,,Photoshoot (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Photoshoot%20ebd3ae291e08402ea2ef2eb365ba26f3.html),"Photoshoot (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Photoshoot%20ebd3ae291e08402ea2ef2eb365ba26f3.html), Take Photos (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Take%20Photos%20dc04e8c790cb4d128983757d6c7cf96d.html), Process Photos (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Process%20Photos%20f0eca2799eed4902ac392ace27e31327.html)"
Take Photos,Done,,"December 18, 2023",,,,,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),,,Photoshoot (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Photoshoot%20ebd3ae291e08402ea2ef2eb365ba26f3.html),
Mock up website,Done,Laura,"December 22, 2023",,,3,3,Website + (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Website%20+%205e83f6d8ae10471693cb3e6cd5c2f09f.html),"This document is a mock-up website task assigned to Laura. The estimated and actual hours are both 3, and the status is ""In Review"". The due date is December 22, 2023.",,,"Draft (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Draft%20aae335ae36fe41b58c57a50bceb8decf.html), Play with colors (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Play%20with%20colors%204a5b2a53e93e40c5af032434eccf9620.html), Get access to current domain (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Get%20access%20to%20current%20domain%205dcef05e584543618f53162910735df6.html), Add Photos (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Add%20Photos%2057525ea55d94423da6a16a49ac7bb571.html)"
Vests,Not started,Laura,"December 22, 2023",https://www.notion.solandsend.com,High,,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),"Mens, Womens and need pricing",,,
Branding Kit Export,Done,Jim Baxley,,https://www.dropbox.com/scl/fo/ogrs1kd3rfblxt2ckjeu7/h?rlkey=zjdyr113nphavtkequgsr9wsy&dl=0,,0.5,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Business Cards,Done,Jim Baxley,,https://assets.adobe.com/id/urn:aaid:sc:US:ec6d2c68-bdaf-4dca-9d44-2a92dc79c38d?view=published,High,1,1,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Email Header,Done,Jim Baxley,,https://assets.adobe.com/id/urn:aaid:sc:US:689e706f-0d24-44cf-a69a-d08f91606b00?view=published,High,0.5,0.5,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Email signature,Done,"Jim Baxley, Laura","January 13, 2024",https://www.dropbox.com/scl/fo/zdtvpslmhkb1zmogmmp0z/h?rlkey=re0q76thz9795q78ecuqth9yr&dl=0,High,0.5,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),With all contact info,,,
Envelopes with return address,Done,"Jim Baxley, Laura",,https://www.dropbox.com/scl/fo/zvzlj25s0emzzma308mor/h?rlkey=deobf52ybgo17537ds43yv4bh&dl=0,,0.5,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),Liked the white,,,
FOR RENT signs,Done,Jim Baxley,,https://assets.adobe.com/id/urn:aaid:sc:US:229fbca8-d94b-4450-93d6-576cf58c4d1f?view=published,High,0.5,0.5,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Letterhead,Done,"Jim Baxley, Laura",,,,0.5,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),Liked the white,,,"Find Prices (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Find%20Prices%20c37a1605f7084848818b92ecac30603f.html), Order (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Order%2022df98f2f78b44a385242f8f20d7e88a.html), Untitled (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Untitled%20a84fec04d1d847e1953c5db65628da18.html)"
Logo Concepts,Done,Jim Baxley,,,,3,6,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Mockups,Done,"Jim Baxley, Laura",,,,3,10,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Name Tag,Done,Jim Baxley,,,High,0.5,0.5,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Send Invoice for Logo,Done,Laura,"December 19, 2023",,,,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
Thank You Cards,Done,"Jim Baxley, Laura",,https://www.dropbox.com/scl/fo/zvzlj25s0emzzma308mor/h?rlkey=deobf52ybgo17537ds43yv4bh&dl=0,,1,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),Likes the blue,,,
Yard Signs with riders,In progress,Jim Baxley,,,,0.5,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),,,,
"Shop competitors ",In progress,"Jim Baxley, Laura",,,,16,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,"Acorn & Oak (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Acorn%20&%20Oak%206b7b6346166e412a998a6cf52b7d31da.html), Henry Property Management  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Henry%20Property%20Management%20ca836a82527f4e6c899b6e4e6b15802d.html), Fairfax PM (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Fairfax%20PM%2065c8223ed3614c098b1588da902593ad.html), Property Firm (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Property%20Firm%205679e525775841bbbb4a15e525a5b7ef.html)"
Website updates,In progress,Jim Baxley,,,,8,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Resident Research updates,Not started,Jim Baxley,,,,4,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Tenant Moveout process,Not started,Jim Baxley,,,,4,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Applicant keep-warm process,Not started,Jim Baxley,,,,6,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,
Weekly Content Program,Not started,Jim Baxley,,,,12,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),,,,"Content creation (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Content%20creation%20b2dc57d9640340c79a6c2fd1b6bf88cb.html), Newsletter process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Newsletter%20process%205fa7f38b85374090bbbc7dc23ed4c3f9.html), Blog Process and hosting (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Blog%20Process%20and%20hosting%208e14c59fe6714354b7b0092cd73a9594.html), Distribution Process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Distribution%20Process%202ef4acb492714149a22fb740e5382dfc.html)"
create Vendor response process,Not started,Jim Baxley,,,,4,,Systems Analysis (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Systems%20Analysis%2009bcda8f8ca3445fad5c56140e3f1b77.html),"Create a vendor response process with the following steps: thank vendors for their email, request insurance certificates and EIN, and promise a response within 5 business days. Consider using Constant Contact or WiseAgent for communication.",,,"Create vendor form (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Create%20vendor%20form%20ef3dafacb8194b1388e987ee30f4d875.html), create auto response process for vendors (Tasks%20d3c736d0cefe4b1ca795bec0af013934/create%20auto%20response%20process%20for%20vendors%20ff0160caab964a1ea7e2c7cd46e888da.html)"
