Project name,Status,Owner,Link,Priority,Dates,Completion,Blocked By,Tasks,Is Blocking,Summary
Velcro Worksheet for June 9 Canvass (Cohn/Everitt),Done,Jim Baxley,https://docs.google.com/spreadsheets/d/1IfZsihNCWDrqQjeSS0ApUmpN1gt1QvQDKGIX5jmwYIs/edit?usp=drive_link,,,,,,,
C2C/NoC Graphic,Done,Jim Baxley,,,,,,,,
Newsletter blog,Done,Jim Baxley,,,,,,,,
Phone bank graphic on Claire’s candidate page,Done,Jim Baxley,,,,,,,,
Help me find donors,Done,Jim Baxley,,,,,,,,
Mo Green Host Committee Sign,Done,Jim Baxley,https://www.canva.com/design/DAGErr33i9g/45jiKvdCPJU5Obddl017pw/edit?utm_content=DAGErr33i9g&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"May 13, 2024",,,,,
Note Writer Column,Done,Jim Baxley,,High,,,,,,
CTA schedule graphic,Done,Jim Baxley,https://www.canva.com/design/DAGEptCb2ZA/GVzKXK9a93P1A63v3GpziA/edit?utm_content=DAGEptCb2ZA&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,Medium,,,,,,
SLIDES!,Done,Jim Baxley,,High,,,,,,
New Business Cards,Done,Jim Baxley,,,,,,,,
http://Bit.ly for Mo Green,Done,Jim Baxley,http://bit.ly/wecan-may17,,,,,,,
Kempner Phone Bank,Done,Jim Baxley,,,,,,,,
House party graphic,Done,Jim Baxley,https://www.canva.com/design/DAF0DBJOFGQ/CGViPSYmPdFeP4E8AjgGew/edit?utm_content=DAF0DBJOFGQ&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,,,,
"Postcard list for Kempner ",Done,Jim Baxley,,,"May 1, 2024",,,,,New to district drawn in by precinct
Fundraising Invite Graphic,Done,,https://www.canva.com/design/DAF0DBJOFGQ/CGViPSYmPdFeP4E8AjgGew/edit,,,,,,,
Spanish websites for Mercer and Wilkins,Done,Jim Baxley,,,,,,,,
Bradley Postcard Addresses,Done,Jim Baxley,,,,,,,,
1/4 Sheets for April 21,Done,Jim Baxley,https://www.dropbox.com/scl/fi/wbqy0n3grxtu2rjcwyhkd/DONATE-HANDOUT-4-17.pdf?rlkey=o9jmvzputso4aad875e0h0b33&dl=0,Medium,,,,,,
Videos for Claire Kempner,Done,Jim Baxley,https://drive.google.com/open?id=12nP2kjDDmBhdMAPWd0uvbfE0sQs-X4us&usp=drive_fs,,,,,,,
"Pittman, Wikins, Mercer",Done,Jim Baxley,https://www.canva.com/design/DAGCq2yDhO4/t4K4la1iXWEfKzZevkdgFw/edit?utm_content=DAGCq2yDhO4&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,High,,,,,,
Donkey 1/4 sheets with QR code,Done,Jim Baxley,https://www.dropbox.com/scl/fi/cdxz950enku4rot7zmxx2/DONATE-HANDOUT-SHD.pdf?rlkey=so0o6qqkbd7ca8z70hv900n4x&dl=0,High,,,,,,
Fix Canvassing Dos and Dont’s,Done,Jim Baxley,https://www.dropbox.com/scl/fi/zkdvwa22lbcug6g9kndsx/CANVASS-SAFELY-2UP.pdf?rlkey=2wnak8gvbx8k3exeu285bqv1r&dl=0,High,,,,,,
1/4 Donation Sheet Stratton,Done,Jim Baxley,https://www.dropbox.com/scl/fi/8x3amo4kb16s4khpj9cjk/DONATE-HANDOUT-CJA.pdf?rlkey=6nov5q8lssqdvi8olxd6gkvg6&dl=0,High,,,,,,
Update postcards for Diamond using new photos,Done,Jim Baxley,https://www.dropbox.com/scl/fi/rzlh1p6zv26mwr2yh9602/DIAMOND-POSTCARD-2024.pdf?rlkey=88e6rfo9r6e8qgi5a7j9txeba&dl=0,Medium,"April 13, 2024",,,,,
Google Form for LET Toolkit,Done,Jim Baxley,,,,,,,,
Add a column in Contributions spreadsheet,Done,Jim Baxley,,High,,,,,,
1/4 sheet with donate info,Done,Jim Baxley,,High,,,,,,
Spanish Websites for Kempner and Sidman,Done,Jim Baxley,,Medium,"April 13, 2024",,,,,
Clean Up April 14 Zoom Slides (Slide 17),Done,Jim Baxley,https://www.canva.com/design/DAFhNSeeo0o/UDxrveKbdl0GYPDu-bmIgw/edit?utm_content=DAFhNSeeo0o&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,High,,,,,,
Lorenza Wilkins Website,Done,Jim Baxley,https://www.lorenzawilkinsfornc.com/,High,,,,,,
Slides for Down East Panel,Done,Jim Baxley,,High,,,,,,
Mo Green Graphic for C2C Fundraiser 5/17,Done,Jim Baxley,https://www.canva.com/design/DAGBklSzH_w/QUiT4nfmyoSXAiZSFsU_SQ/edit?utm_content=DAGBklSzH_w&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,High,,,,,,
Grafstein Postcard List,Done,Jim Baxley,https://www.dropbox.com/scl/fi/dq4s4y3l4l3i2lt5aob14/GRAFSTEIN_2024-04-05_1000.pdf?rlkey=80fx3k1vr5kszglvnyndblnhz&dl=0,High,,,,,,
Candidate Intro Doc,Done,Laura,,,,1,,"Draft (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Draft%20015914c826264425afeb71f31c84d75a.html), Format (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Format%2033c9c095d19049c29470b084ee7f699f.html)",,Overview of what C2C offers candidates and needs from them
Learn NGP VAN,Done,"Jim Baxley, Laura",,High,"December 20, 2023 → December 29, 2023",1,,"get info from Sarah (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/get%20info%20from%20Sarah%20e796c18b78a6446db63f9ce4d2264c5b.html), Prepare for 2024 (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Prepare%20for%202024%20b81c07500a9e45be9781e44c27a60704.html), Update Documentation (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Update%20Documentation%20cbddc2e5d820456e88b2854f0281e566.html)",,
Website updates,Done,"Jim Baxley, Laura",,High,"December 20, 2023 → December 29, 2023",1,,"Diamond’s page (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Diamond%E2%80%99s%20page%200de1f3f2647944ea8673f7f2e2724909.html), Progress Tracker (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Progress%20Tracker%203f88080444d94663a3bc3d5db8b9c836.html), Other pages (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Other%20pages%205c821a6665c846d299bb9b96de343708.html), Bryan Cohn (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Bryan%20Cohn%20bf2f27e7bfc64dfcaa18ad1e712a0d89.html), Terence Everitt (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Terence%20Everitt%2004d196a729584c71861f51663790e6fe.html), Spanish Version of Candidate Pages (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Spanish%20Version%20of%20Candidate%20Pages%20d4c006dda418405b98cf989f89130766.html), Jackson (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Jackson%20105899341377433a8f18dd8a26997983.html), Grafstein (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Grafstein%20ece7b80279a14939ba176dd676ece7a1.html)",,
Mercer Postcard,In Review,Jim Baxley,,,,,,,,
Canva graphics,In Review,Jim Baxley,,,,,,,,
House Party Invite,In Review,Jim Baxley,https://www.canva.com/design/DAF0DBJOFGQ/CGViPSYmPdFeP4E8AjgGew/edit?utm_content=DAF0DBJOFGQ&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,,,,,,
NASH Postcard,In Review,Jim Baxley,https://www.dropbox.com/scl/fi/r7fm41mnv9ep8vq917nh1/NASH-2024.pdf?rlkey=5pu93knu8jf7sjz739omlj6tj&dl=0,,,,,,,
"Lorenza Wilkins Postcards ",In Review,Jim Baxley,https://www.dropbox.com/scl/fi/jqywk77pqxhnuqt8vo8ur/WILKINS-POSTCARD-2024.pdf?rlkey=htuqygmivxefzzcsaji0u3ttv&dl=0,Medium,,,,,,(maybe use that Woodson Bradley design she didn’t use?)
Raskin Graphics,In Review,Jim Baxley,https://www.canva.com/folder/FAGBkp1V2jU,Low,,,,,,
All the Postcards,Backlog,"Jim Baxley, Laura",,,"January 12, 2024",0.8,,"Diamond (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Diamond%202b12190ee46d41b1a81f99ba15ef4f50.html), Cohn (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Cohn%2014c6f4e41f1d4e13ba92549ae6830be9.html), Everitt (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Everitt%2013ba994049e949749f281e657313a659.html), Pittman (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Pittman%20c808ab5465a844c09085993bf8a76278.html), Wilkins (Tasks%20e2dba204ad2d4b03b7f0ead8a5e00722/Wilkins%20da37d186742746b48b1c1d407937a51e.html)",,
Finish Trackers and Instructions,Backlog,Jim Baxley,,Medium,"December 29, 2023",,,,,
