Task name,Assignee,Status,Due,Notes,Summary,Blocked by,Blocking
Survey,,Done,"February 29, 2024",,,,
Sell Organ,Jim Baxley,In progress,"March 21, 2024 → May 19, 2024",https://theorganclearinghouse.com,,,Remove remaining items (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Remove%20remaining%20items%203e02742d660043dc9050439019e24f40.html)
Check foundation,Jim Baxley,Done,"March 25, 2024",,,,
Sell Piano,Jim Baxley,In progress,"April 15, 2024 → May 19, 2024",Ruggero Piano in Raleigh (919-839-2040),,,Remove remaining items (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Remove%20remaining%20items%203e02742d660043dc9050439019e24f40.html)
Fix gutters,,Not started,"May 13, 2024",,,,List house (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/List%20house%206ead8c1fa3344d44a23d9dcf63d31910.html)
Remove remaining items,,In progress,"May 20, 2024 → May 22, 2024",https://www.thedownsizers.com/ (trash/consign) and https://www.tobaccoroaddownsizing.com/the-process (estate sale) both get good reviews and offer free consultations,,"Sell Organ (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Sell%20Organ%20c060fc75c7b84f9cad6f8a88ed1bc4e7.html), Sell Piano (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Sell%20Piano%205137812c2bc44459be04f24733944e01.html)",Paint (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Paint%20177645760d23452092dd92e778040f47.html)
Paint,,Not started,"May 23, 2024 → June 8, 2024",,,Remove remaining items (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Remove%20remaining%20items%203e02742d660043dc9050439019e24f40.html),Floors (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Floors%20cb470711aaf941358b4e2531ea4b7c30.html)
Fix gutters,,Not started,"May 24, 2024",,,,List house (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/List%20house%206ead8c1fa3344d44a23d9dcf63d31910.html)
Floors,,Not started,"June 9, 2024 → June 23, 2024",,,Paint (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Paint%20177645760d23452092dd92e778040f47.html),"Clean (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Clean%204a33d047a988478285f015f84b488622.html), Dishwasher install (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Dishwasher%20install%20e603350e7acd46a6bc5b747d9629e310.html)"
Dishwasher install,,Not started,"June 24, 2024",,,Floors (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Floors%20cb470711aaf941358b4e2531ea4b7c30.html),List house (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/List%20house%206ead8c1fa3344d44a23d9dcf63d31910.html)
Clean,,Not started,"June 24, 2024 → July 1, 2024",,,Floors (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Floors%20cb470711aaf941358b4e2531ea4b7c30.html),List house (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/List%20house%206ead8c1fa3344d44a23d9dcf63d31910.html)
List house,,Not started,"July 2, 2024",,,"Clean (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Clean%204a33d047a988478285f015f84b488622.html), Dishwasher install (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Dishwasher%20install%20e603350e7acd46a6bc5b747d9629e310.html), Fix gutters (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Fix%20gutters%20c90ca7a298414369a9ffa8517f307b09.html), Fix gutters (Tom%E2%80%99s%20Plans%2065b43caea9244cc5b7bc7ec3d5bf94ca/Sell%20House%200fe319fb0b4e47a09684f0d90ec46c84/Fix%20gutters%2048c16df337a0426292eb8358b8147fd0.html)",
